"","filename","Accuracy","sensitivity","specificity"
"2","huebulb_zb_features_s_bk100.db","1","0","1"
"3","huebulb_zb_features_s_bk40.db","0.999336870026525","0","0.999336870026525"
"4","huebulb_zb_features_s_bk60.db","1","0","1"
"5","huebulb_zb_features_s_bk80.db","1","0","1"
