"","c_c_cx","f_fr_cx_x","c_c_cx_us","f_mn_cx_xs","f_sd_cx_xs","c_c_dx","f_fr_dx_x","f_sd_dx_xs","c_c_dx_b0","f_fr_dx_tb_b0","f_mn_xs_dx_b0","f_sd_xs_dx_b0","f_mn_tg_dx_b0","f_sd_tg_dx_b0","c_c_dx_b1","f_fr_dx_tb_b1","f_mn_xs_dx_b1","f_sd_xs_dx_b1","f_mn_tg_dx_b1","f_sd_tg_dx_b1"
"1",73,0.243333333333333,2,56.1643835616438,1.39484077384744,227,0.756666666666667,657.393602124826,129,0.568281938325991,301.736434108527,6.16927848380839,0.949208855628967,0.583290859911284,98,0.431718061674009,1558.0612244898,12.6282398630228,0.967492192061906,0.588629480837441
"2",79,0.263333333333333,2,56.1518987341772,1.34153329615107,221,0.736666666666667,649.139614270882,126,0.570135746606335,317.357142857143,1.06957968554464,0.898727407455444,0.517665552518043,95,0.429864253393665,1549.4,20.6253537519071,0.837733849566034,0.543752124493163
"3",73,0.243333333333333,2,56.1643835616438,1.39484077384744,227,0.756666666666667,657.796692730647,131,0.577092511013216,299.908396946565,6.69771604892049,1.00424535457905,0.554890266802338,96,0.422907488986784,1560.4375,9.7093540832005,0.971595766669826,0.577659361926775
"4",76,0.253333333333333,2,56.3157894736842,1.92087237798891,224,0.746666666666667,651.927918547247,127,0.566964285714286,313.622047244094,37.5393316560194,0.966502571862841,0.553407566828293,97,0.433035714285714,1552.38144329897,16.0948734497155,0.929074724515279,0.546478693650293
"5",79,0.263333333333333,2,56.1518987341772,1.34153329615107,221,0.736666666666667,655.267639025083,121,0.547511312217195,302.173553719008,3.90862816336404,0.989664628108342,0.575790195167099,100,0.452488687782805,1544.28,16.8987934198752,0.93586284223229,0.534866840771451
"6",72,0.24,2,56.3333333333333,1.97202659436654,228,0.76,653.165801839765,133,0.583333333333333,311.804511278195,52.2902092151405,1.00578299977563,0.581549987792225,95,0.416666666666667,1559.67368421053,11.6631578947368,0.948647501620841,0.564383739835166
"7",67,0.223333333333333,2,56.1791044776119,1.45505165456166,233,0.776666666666667,654.088500939641,135,0.579399141630901,309.607407407407,52.1649866488039,1.05345881696957,0.599070555345989,98,0.420600858369099,1558.67346938776,9.93126453536578,1.04462557478049,0.568260487969874
"8",74,0.246666666666667,2,56.1621621621622,1.3855141208623,226,0.753333333333333,657.231672410391,125,0.553097345132743,300.04,5.10504170868932,0.965714275836945,0.542920930350476,101,0.446902654867257,1549.67326732673,14.4591667528237,0.91866950750351,0.550572577714259
"9",74,0.246666666666667,2,56.3243243243243,1.94594594594595,226,0.753333333333333,648.345907681631,134,0.592920353982301,324.910447761194,80.7363017530087,0.956035791483141,0.555513551561145,92,0.407079646017699,1563.54347826087,11.2332280635808,0.928076466361245,0.542914572249414
"10",85,0.283333333333333,2,56.1411764705882,1.29390372563459,215,0.716666666666667,651.533113235213,122,0.567441860465116,321.885245901639,279.157672504089,0.858603099160943,0.511847380702702,93,0.432558139534884,1559.17204301075,11.2694954370218,0.921142554801443,0.513107245718775
"11",71,0.236666666666667,1,56,0,229,0.763333333333333,654.88667432314,127,0.554585152838428,305.59842519685,3.71983371595099,1.03968731373075,0.575505984538506,102,0.445414847161572,1548.1568627451,12.1141486398413,1.0736726605066,0.588613026319707
"12",77,0.256666666666667,2,56.1558441558442,1.35861785253216,223,0.743333333333333,649.046852582548,125,0.560538116591928,315.8,37.645271304812,1.02281711370714,0.546106215768456,98,0.439461883408072,1541.73469387755,17.5425068411955,0.958740966836202,0.561577346554131
"13",71,0.236666666666667,1,56,0,229,0.763333333333333,646.96978294202,129,0.563318777292576,333.53488372093,2.24230816720444,1.0263261757791,0.578664308795044,100,0.436681222707424,1554.4,11.5393361624388,0.998925548611265,0.57708483137491
"14",76,0.253333333333333,2,56.1578947368421,1.36740853229122,224,0.746666666666667,657.584921049791,120,0.535714285714286,295.641666666667,4.70892428393974,1.03352911732778,0.576857600813207,104,0.464285714285714,1541.76923076923,14.8908039816859,1.01409980394308,0.570653365367694
"15",77,0.256666666666667,2,56.1558441558442,1.35861785253216,223,0.743333333333333,654.917299256364,123,0.551569506726457,306.406504065041,0.415875581414819,0.96129512005165,0.529964267864725,100,0.448430493273543,1548.84,17.08,0.946918408075968,0.528869055147356
